date_obs,ra,dec,expnum,exptime,band,ccd,mag,nite,objid,fakeid,date_added,obscode
2013/9/30 03:31:33,23:56:50.10,1:09:37.8,239651,90.0,r,11,23.0206985474,20130929,3137298,0,2016/2/21 02:18:07,807
2013/9/30 03:33:40,23:56:50.10,1:09:38.0,239652,90.0,i,11,22.4967002869,20130929,3294193,0,2016/2/21 02:18:07,807
2013/10/11 02:55:29,23:56:11.73,1:05:21.5,242745,90.0,z,16,22.5354995728,20131010,1574917,0,2016/2/21 02:18:07,807
2013/10/13 01:16:43,23:56:05.24,1:04:37.8,243471,90.0,z,42,22.6069984436,20131012,3510861,0,2016/2/21 02:18:07,807
2013/10/13 01:56:29,23:56:05.15,1:04:37.1,243490,90.0,i,42,22.7231998444,20131012,3524790,0,2016/2/21 02:18:07,807
2013/9/30 03:35:49,0:09:44.02,2:47:09.6,239653,90.0,r,29,20.576499939,20130929,3170340,0,2016/2/21 02:18:07,807
2013/9/30 03:37:56,0:09:44.00,2:47:09.6,239654,90.0,i,29,20.1025009155,20130929,3332071,0,2016/2/21 02:18:07,807
2013/10/11 02:53:29,0:08:47.68,2:40:38.3,242744,90.0,z,29,19.8378982544,20131010,2021345,0,2016/2/21 02:18:07,807
2013/10/12 02:54:49,0:08:42.70,2:40:03.3,243110,90.0,i,8,20.2350006104,20131011,2453510,0,2016/2/21 02:18:07,807
2013/10/12 03:00:52,0:08:42.67,2:40:03.1,243113,90.0,z,8,19.9277992249,20131011,1968568,0,2016/2/21 02:18:07,807
2013/10/28 01:26:57,0:07:29.20,2:31:16.7,247499,90.0,r,7,20.7062988281,20131027,3777995,0,2016/2/21 02:18:07,807
2013/9/30 03:48:55,0:13:53.32,1:51:47.0,239659,90.0,r,21,22.8481998444,20130929,3147788,0,2016/2/21 02:18:07,807
2013/9/30 03:51:02,0:13:53.32,1:51:46.7,239660,90.0,i,21,22.1588993073,20130929,3232505,0,2016/2/21 02:18:07,807
2013/10/12 02:54:49,0:13:10.05,1:47:22.5,243110,90.0,i,43,22.206199646,20131011,2510518,0,2016/2/21 02:18:07,807
2013/10/13 02:11:38,0:13:06.64,1:47:01.6,243497,90.0,z,52,21.7738990784,20131012,2674645,0,2016/2/21 02:18:07,807
2013/9/30 03:10:13,23:58:44.32,1:58:52.6,239641,90.0,r,13,22.8194999695,20130929,3101276,0,2016/2/21 02:18:07,807
2013/9/30 03:12:19,23:58:44.31,1:58:52.6,239642,90.0,i,13,21.4945983887,20130929,3112624,0,2016/2/21 02:18:07,807
2013/10/11 02:49:18,23:58:02.13,1:53:27.3,242742,90.0,z,19,21.220500946,20131010,2032476,0,2016/2/21 02:18:07,807
2013/10/12 02:56:49,23:57:58.40,1:52:58.1,243111,90.0,i,41,21.6231994629,20131011,2432005,0,2016/2/21 02:18:07,807
2013/10/12 02:58:49,23:57:58.39,1:52:58.0,243112,90.0,z,41,21.3826999664,20131011,2505184,0,2016/2/21 02:18:07,807
2013/10/13 01:56:29,23:57:54.86,1:52:30.4,243490,90.0,i,17,21.7141990662,20131012,3463182,0,2016/2/21 02:18:07,807
2013/10/28 00:50:05,23:57:04.08,1:45:40.6,247481,90.0,r,38,22.3847007751,20131027,2630765,0,2016/2/21 02:18:07,807
2013/10/12 02:56:49,23:59:04.89,2:20:24.3,243111,90.0,i,22,22.3453998566,20131011,2407948,0,2016/2/21 02:18:07,807
2013/10/12 02:58:49,23:59:04.89,2:20:24.3,243112,90.0,z,22,22.0932998657,20131011,2479789,0,2016/2/21 02:18:07,807
2013/10/13 01:18:43,23:59:01.14,2:19:59.2,243472,90.0,z,33,22.3490982056,20131012,3268631,0,2016/2/21 02:18:07,807
2013/10/13 02:34:31,23:59:00.94,2:19:57.7,243508,90.0,i,33,22.454498291,20131012,3732058,0,2016/2/21 02:18:07,807
2013/11/8 03:05:12,23:57:32.07,2:09:39.3,251776,90.0,r,27,23.2165985107,20131107,3782320,0,2016/2/21 02:18:07,807
2013/9/30 03:12:19,23:58:46.29,1:56:25.6,239642,90.0,i,19,22.9500999451,20130929,3110843,0,2016/2/21 02:18:07,807
2013/10/11 02:49:18,23:58:01.25,1:50:56.5,242742,90.0,z,19,22.6538009644,20131010,2032470,0,2016/2/21 02:18:07,807
2013/10/13 01:56:29,23:57:53.50,1:49:59.2,243490,90.0,i,17,22.616399765,20131012,3463184,0,2016/2/21 02:18:07,807
2013/9/30 03:31:33,23:55:49.87,0:54:56.2,239651,90.0,r,22,23.5705986023,20130929,3164177,0,2016/2/21 02:18:07,807
2013/9/30 03:33:40,23:55:49.87,0:54:56.4,239652,90.0,i,22,23.1047992706,20130929,3344518,0,2016/2/21 02:18:07,807
2013/10/12 02:22:03,23:55:12.04,0:49:59.7,243094,90.0,i,44,23.1704998016,20131011,2265720,0,2016/2/21 02:18:07,807
2013/10/13 01:56:29,23:55:09.05,0:49:36.1,243490,90.0,i,53,23.0742988586,20131012,3544444,0,2016/2/21 02:18:07,807
